阿司匹林,有害垃圾
阿尔卑斯糖,湿垃圾
艾草,湿垃圾
艾叶,湿垃圾
安全帽,可回收垃圾
安全套,干垃圾
按摩棒,干垃圾
密胺碗,可回收垃圾
密胺餐具,可回收垃圾
档案袋,可回收垃圾
肮脏塑料袋,干垃圾
棉袄,可回收垃圾
芭蕉叶,湿垃圾
八角,湿垃圾
八宝饭,湿垃圾
八宝粥,湿垃圾
锅巴,湿垃圾
泥巴,干垃圾
巴旦木壳,湿垃圾
扫把,干垃圾
拖把,干垃圾
旧拖把,干垃圾
浴霸灯,可回收垃圾
浴霸灯泡,有害垃圾
白菜,湿垃圾
白纸,可回收垃圾
百洁布,干垃圾
玻璃摆件,可回收垃圾
一般铁罐,可回收垃圾
板栗,湿垃圾
复印件版纸,可回收垃圾
干拌面,湿垃圾
搅拌棒,干垃圾
搅拌勺,干垃圾
花瓣,湿垃圾
衣服半成品,可回收垃圾
手办,可回收垃圾
蹄膀,湿垃圾
鸡翅膀,湿垃圾
蹄膀骨头,干垃圾
棒骨,干垃圾
胶棒,干垃圾
棉棒,干垃圾
蚌壳,干垃圾
包包,可回收垃圾
包子,湿垃圾
布包,可回收垃圾
包装薄膜,干垃圾
塑料薄膜,干垃圾
薄型塑料袋,干垃圾
保健品,有害垃圾
保龄球,干垃圾
保暖杯,可回收垃圾
汉堡,湿垃圾
汉堡包,湿垃圾
汉堡盒,干垃圾
宝特瓶,可回收垃圾
抱枕,可回收垃圾
报刊,可回收垃圾
报纸,可回收垃圾
海报,可回收垃圾
鲍鱼,干垃圾
鲍鱼壳,干垃圾
爆竹,干垃圾
爆米花,湿垃圾
铁杯,可回收垃圾
纸杯,干垃圾
旧背包,可回收垃圾
贝壳,干垃圾
扇贝,干垃圾
贝壳类,干垃圾
电脑设备,可回收垃圾
被单,可回收垃圾
被套,可回收垃圾
被芯,可回收垃圾
本子,可回收垃圾
绘本,可回收垃圾
课本,可回收垃圾
绷带,干垃圾
鼻毛,干垃圾
鼻屎,干垃圾
鼻涕纸,干垃圾
笔,干垃圾
笔袋,干垃圾
雪碧瓶,可回收垃圾
碧根果壳,干垃圾
冥币,干垃圾
游戏币,可回收垃圾
避孕套,干垃圾
避孕药,有害垃圾
用过的避孕套,干垃圾
鞭炮,干垃圾
牛鞭,湿垃圾
纸张鞭炮,干垃圾
编织袋,干垃圾
便签,干垃圾
变质食品,湿垃圾
变质的食物,湿垃圾
标签,干垃圾
鼠标,可回收垃圾
标签卡,干垃圾
手表,可回收垃圾
钟表,可回收垃圾
电表盒,可回收垃圾
别针,干垃圾
曲别针,干垃圾
